price,city,layout,area,condition,ownership,outdoor,lat,lon,url
5200000,Ostatní,3+kk,66,Velmi dobrý,Osobní,1,49.975563,12.697578,https://www.sreality.cz/detail/prodej/byt/3+kk/marianske-lazne-marianske-lazne-mladejovskeho/1393451852
19950000,Praha 4,3+kk,96,Novostavba,Osobní,1,50.046135,14.460219,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-michle-hodoninska/3500884812
12150000,Praha 10,3+kk,82,Velmi dobrý,Osobní,1,50.044044,14.516496,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hostivar-bratislavska/279659340
5300000,Karlovy Vary,2+kk,79,Velmi dobrý,Osobní,1,50.234688,12.87245,https://www.sreality.cz/detail/prodej/byt/2+kk/karlovy-vary-karlovy-vary-jatecni/1778209612
6750000,Karlovy Vary,3+1,103,Velmi dobrý,Osobní,0,50.225739,12.877225,https://www.sreality.cz/detail/prodej/byt/3+1/karlovy-vary-karlovy-vary-sadova/3208213324
4242000,Litoměřice,3+kk,68,Dobrý,Osobní,0,50.546616,14.13096,https://www.sreality.cz/detail/prodej/byt/3+kk/litomerice-pokratice-alfonse-muchy/1862030156
14500000,Praha 5,3+1,104,Velmi dobrý,Osobní,1,50.064835,14.409991,https://www.sreality.cz/detail/prodej/byt/3+1/praha-smichov-na-plzence/4088087372
4990000,Ostrava,4+1,84,Velmi dobrý,Družstevní,1,49.850018,18.275236,https://www.sreality.cz/detail/prodej/byt/4+1/ostrava-moravska-ostrava-a-privoz-nadrazni/1569616460
5450000,Kutná Hora,3+1,73,Dobrý,Osobní,1,49.958927,15.280868,https://www.sreality.cz/detail/prodej/byt/3+1/kutna-hora-sipsi-na-studnich/113537868
5600000,Praha,1+1,30,Dobrý,Družstevní,0,50.037384,14.517164,https://www.sreality.cz/detail/prodej/byt/1+1/praha--matuskova/2801234764
4250000,Ostatní,2+1,70,Dobrý,Osobní,1,49.968563,12.701447,https://www.sreality.cz/detail/prodej/byt/2+1/marianske-lazne-marianske-lazne-ruska/1757233996
9490000,Praha 10,2+kk,74,Dobrý,Osobní,1,50.067036,14.462398,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-uzbecka/2960749388
